Hybrid,Location,PlantHeight
G1,GAH1,167.17222034337675
G1,GAH2,147.01048777735087
G1,IAH1,203.5775006417485
G1,IAH3,189.47513854371147
G1,IAH4,177.38127909213412
G1,INH1,199.47513854371073
G1,MOH2,142.30407915834488
G1,NCH1,175.35048777735335
G1,NEH2,165.5168084285135
G1,NEH3,189.45272749552927
G1,SCH1,175.33430056309643
G1,WIH3,190.9472831525921
G2,GAH1,91.8701409046711
G2,GAH2,131.76540756734983
G2,IAH1,139.8665778404095
G2,IAH3,152.40602732087757
G2,INH1,126.5286497147023
G2,MOH2,90.06717133903314
G2,NCH1,135.68399894834087
G2,NEH1,139.33940928326172
G2,NEH2,96.49282038947766
G2,NEH3,178.76177768408894
G2,SCH1,136.5038115472218
G3,DEH1,156.0768728183586
G3,GAH1,150.53520293356758
G3,GAH2,128.9832900927574
G3,GEH1,151.72849477351207
G3,IAH1,162.5173441827106
G3,IAH3,150.90110435502442
G3,IAH4,219.70797632417282
G3,ILH1,135.0662822086668
G3,INH1,203.9203237151549
G3,MIH1,184.21149923481167
G3,MOH2,106.99428697114202
G3,NCH1,115.37555058726622
G3,NEH1,160.68669254358292
G3,NEH2,125.70286917583722
G3,NEH3,177.25234968496213
G3,NYH2,147.6540155771652
G3,NYH3,155.73969540252278
G3,SCH1,116.4563780337927
G3,TXH1,125.56577336302306
G3,TXH2,130.54440432715703
G3,WIH1,141.03355985603514
G3,WIH2,167.06628220866355
G3,WIH3,160.98984675246928
G4,DEH1,155.72449214758103
G4,GAH1,105.87124511965774
G4,GAH2,117.40707932545986
G4,GEH1,110.23753474929723
G4,IAH1,190.47540280700684
G4,IAH3,150.92712159029873
G4,IAH4,155.36443750057435
G4,ILH1,153.5724808443432
G4,INH1,151.704044770066
G4,MIH1,179.97782863169164
G4,MOH2,78.5433753191958
G4,NCH1,136.52316991648905
G4,NEH1,184.13118546861241
G4,NEH2,100.67699135760594
G4,NEH3,177.18053199614994
G4,NYH2,156.38721227355148
G4,NYH3,192.6813350978433
G4,SCH1,91.52306851730489
G4,TXH1,163.2603251433954
G4,TXH2,130.19202365637943
G4,WIH1,140.68117918525758
G4,WIH2,166.713901537886
G4,WIH3,160.63746608169168
G5,GAH1,97.33890738110537
G5,GAH2,153.60435218655115
G5,IAH1,168.07897698571466
G5,IAH3,140.983752127704
G5,INH1,143.35270214363172
G5,MOH2,82.20949814870974
G5,NCH1,158.74006878710463
G5,NEH1,211.52193079009493
G5,NEH2,155.3248489904277
G5,NEH3,152.72650436013174
G5,SCH1,144.4539787697043
G5,WIH3,167.15728315264212
G6,GAH1,177.19086254258858
G6,GAH2,196.88592598230898
G6,IAH1,221.26280640686159
G6,IAH3,147.22996712557966
G6,IAH4,230.2849552993604
G6,INH1,184.4983704086824
G6,MOH2,109.29403206833841
G6,NEH1,185.6009791398421
G6,NEH2,171.03619999085984
G6,NEH3,205.9049846543767
G6,SCH1,202.12634581177593
G6,WIH3,208.0529514176928
G7,DEH1,184.81284080767293
G7,GAH1,148.52343048095872
G7,GAH2,168.49500790023163
